Loan_ID,Age,Employment_Type,Annual_Income,Loan_Amount,Loan_Tenure_Years,Credit_Score,Existing_Loans,EMI,Loan_Purpose,Default_Status
50669,32,Salaried,1112156,965428,25,506,2,69007,Home,No Default
50670,29,Self-Employed,421831,104183,18,685,4,72649,Home,No Default
50671,54,Salaried,737331,502978,2,446,3,33507,Home,No Default
50672,34,Salaried,1982863,244645,5,431,0,64784,Home,No Default
50673,57,Self-Employed,1244745,1359096,16,403,4,55223,Personal,No Default
50674,23,Salaried,1884070,787153,12,852,3,9739,Home,No Default
50675,64,Salaried,944622,285374,12,867,4,68684,Home,No Default
50676,64,Unemployed,1290264,815033,11,541,2,26616,Personal,No Default
50677,41,Self-Employed,1710312,1319247,20,630,4,67283,Education,No Default
50678,27,Self-Employed,1082083,1207394,19,448,0,17545,Business,No Default
50679,53,Self-Employed,747966,963665,21,468,3,42176,Home,No Default
50680,55,Salaried,1947109,1402642,7,856,2,13602,Personal,No Default
50681,31,Salaried,1513851,1097054,26,383,4,58413,Home,No Default
50682,52,Salaried,989803,879261,2,819,1,78694,Education,No Default
50683,42,Salaried,700110,202935,29,406,2,64526,Personal,No Default
50684,62,Salaried,1856217,868769,29,564,2,25047,Personal,No Default
50685,39,Self-Employed,1017397,1460677,6,330,0,38564,Personal,Default
50686,56,Salaried,150465,992192,4,846,0,70983,Home,No Default
50687,57,Self-Employed,1421790,57974,2,546,4,10276,Education,No Default
50688,31,Salaried,1597490,1239139,17,829,1,79146,Business,No Default
50689,61,Salaried,223927,838736,8,323,2,14737,Personal,Default
50690,33,Salaried,1207007,925272,5,797,4,6457,Home,Default
50691,48,Self-Employed,533918,847930,10,603,1,56522,Business,No Default
50692,35,Salaried,408883,1223157,16,697,4,13151,Personal,No Default
50693,33,Salaried,933139,1233462,2,702,2,77958,Home,No Default
50694,63,Self-Employed,1078529,667043,24,615,4,12915,Business,No Default
50695,53,Salaried,646030,1128501,19,577,0,70175,Business,Default
50696,28,Salaried,1968058,242296,7,841,0,27606,Personal,No Default
50697,52,Unemployed,1975385,390189,2,442,3,15698,Home,No Default
50698,57,Salaried,295883,218878,13,709,1,52082,Business,No Default
50699,24,Salaried,341216,1325510,23,655,2,15681,Education,No Default
50700,38,Salaried,1657878,1004053,4,823,1,65011,Education,No Default
50701,43,Salaried,364877,609014,16,502,0,15050,Business,No Default
50702,49,Salaried,1349251,100448,10,549,2,49182,Personal,Default
50703,22,Salaried,184277,1006613,17,402,3,73438,Personal,No Default
50704,33,Salaried,767370,1424335,21,767,0,22193,Personal,No Default
50705,36,Salaried,1315654,1481131,28,334,0,77321,Business,No Default
50706,28,Salaried,1355148,845656,14,623,1,17017,Personal,No Default
50707,39,Salaried,1570445,398386,12,831,4,76848,Personal,No Default
50708,52,Salaried,1406630,228115,13,858,1,28257,Education,No Default
50709,23,Self-Employed,386517,524127,20,895,0,3924,Home,No Default
50710,52,Salaried,1811146,998438,8,567,1,4440,Education,No Default
50711,61,Self-Employed,428467,856044,17,352,4,63907,Business,Default
50712,41,Salaried,1000435,919827,18,317,3,38210,Education,No Default
50713,45,Salaried,357176,175245,21,403,2,66904,Home,No Default
50714,37,Salaried,115060,1214199,10,451,0,32737,Education,No Default
50715,45,Self-Employed,1718120,93927,26,713,1,60510,Personal,No Default
50716,53,Salaried,1110558,72073,28,383,0,73118,Home,No Default
50717,51,Salaried,1392954,1359069,13,607,2,67018,Business,No Default
50718,56,Salaried,820603,437661,2,450,1,10354,Education,Default
50719,43,Salaried,1563960,660545,27,848,3,72183,Education,No Default
50720,64,Salaried,1644739,711932,17,678,2,51019,Personal,No Default
50721,45,Salaried,1988481,447166,6,757,4,44043,Home,No Default
50722,64,Salaried,1832417,1445298,12,652,4,15539,Personal,Default
50723,50,Self-Employed,186648,1022805,29,675,0,45575,Education,No Default
50724,33,Salaried,1938418,745613,13,507,4,12985,Education,No Default
50725,63,Salaried,1051630,790563,28,861,1,16419,Home,No Default
50726,49,Salaried,715604,470947,26,759,4,78840,Education,No Default
50727,36,Salaried,1782964,97813,4,703,3,49640,Home,No Default
50728,58,Salaried,438865,1025207,15,858,1,47437,Business,No Default
50729,47,Salaried,1491887,299212,16,829,0,42028,Education,Default
50730,46,Salaried,536417,176491,21,784,0,27814,Home,No Default
50731,31,Salaried,510137,484076,19,421,4,30552,Home,No Default
50732,57,Salaried,1766987,72013,15,419,4,77992,Personal,Default
50733,23,Salaried,1988028,53244,26,550,0,48453,Education,No Default
50734,46,Salaried,1185920,270179,6,598,1,41724,Personal,Default
50735,54,Salaried,492289,807689,20,346,2,50576,Home,No Default
50736,53,Salaried,1300557,1293088,29,896,0,31317,Business,Default
50737,35,Salaried,513183,260485,6,598,3,12159,Business,No Default
50738,22,Unemployed,763258,1119164,29,818,1,67742,Education,No Default
50739,48,Salaried,805862,374326,5,544,2,37590,Business,No Default
50740,40,Salaried,797264,764047,27,517,2,27409,Education,No Default
50741,58,Self-Employed,1016366,241795,2,643,1,22705,Education,No Default
50742,64,Salaried,1136048,430644,20,613,0,61201,Home,No Default
50743,36,Unemployed,966184,1336954,2,589,2,57985,Home,No Default
50744,24,Self-Employed,755308,728998,5,496,3,66898,Home,No Default
50745,28,Self-Employed,257471,1492019,3,877,1,39379,Personal,No Default
50746,64,Unemployed,872673,1431203,6,715,4,42902,Home,No Default
50747,40,Salaried,914906,591499,11,605,0,49635,Education,No Default
50748,46,Salaried,488511,1440150,5,777,1,5719,Home,Default
50749,52,Self-Employed,1619726,1370937,18,835,3,47703,Personal,Default
50750,33,Salaried,1202035,1277136,14,519,2,20449,Home,No Default
50751,25,Unemployed,1260874,1334208,10,653,0,50429,Business,No Default
50752,64,Salaried,1124850,389248,27,534,0,45939,Education,No Default
50753,62,Salaried,905741,1387634,24,605,1,15301,Business,No Default
50754,33,Unemployed,1112698,731064,22,409,1,55897,Business,No Default
50755,61,Salaried,1321603,987436,25,613,3,66339,Personal,Default
50756,31,Self-Employed,991450,1355252,3,312,4,51089,Business,Default
50757,57,Salaried,1499837,88199,16,466,1,26569,Home,No Default
50758,52,Self-Employed,263082,986558,16,352,1,8400,Education,Default
50759,62,Unemployed,1556079,1276840,11,485,1,78419,Business,No Default
50760,38,Salaried,1957398,1364059,4,575,3,28543,Business,No Default
50761,49,Salaried,1390905,134709,11,746,2,20788,Education,No Default
50762,35,Salaried,370685,896966,8,651,4,28412,Home,Default
50763,40,Self-Employed,248993,227027,16,309,3,42303,Business,Default
50764,64,Self-Employed,143937,1191180,23,709,1,73676,Education,Default
50765,56,Salaried,807240,106670,8,446,2,24542,Home,No Default
50766,25,Salaried,926581,636033,9,776,1,58764,Home,No Default
50767,60,Self-Employed,546714,1379766,14,727,3,59091,Home,No Default
50768,57,Self-Employed,1085406,1367807,8,787,0,55335,Personal,No Default
50769,53,Salaried,703318,1224617,24,829,1,13658,Home,No Default
50770,38,Salaried,401940,90711,16,676,2,49089,Home,Default
50771,39,Self-Employed,1847132,298786,22,411,4,16410,Education,No Default
50772,52,Salaried,614772,1200236,27,883,0,43280,Personal,No Default
50773,62,Unemployed,754462,537082,2,514,1,29881,Home,No Default
50774,42,Salaried,1136067,1010820,28,809,1,57925,Business,No Default
50775,61,Self-Employed,293831,807637,23,810,2,73457,Personal,No Default
50776,21,Salaried,1880758,783916,20,888,0,63168,Education,Default
50777,45,Unemployed,1809977,447687,19,325,0,2331,Personal,No Default
50778,40,Salaried,185521,1125698,20,492,0,35084,Business,No Default
50779,55,Salaried,497390,1355211,20,402,1,71087,Personal,No Default
50780,26,Salaried,751809,642947,19,504,0,40866,Business,No Default
50781,26,Self-Employed,1211509,1437589,25,710,1,62252,Home,No Default
50782,57,Salaried,1182267,1150035,19,350,1,9792,Home,No Default
50783,23,Salaried,477450,1399491,18,430,0,30892,Personal,No Default
50784,57,Salaried,1529808,1130612,13,642,3,27938,Personal,Default
50785,51,Salaried,1410143,105087,17,877,4,48978,Education,Default
50786,55,Salaried,1766238,216950,27,699,4,44692,Education,No Default
50787,35,Salaried,1151879,979292,1,501,3,75110,Business,No Default
50788,37,Salaried,1457373,758289,21,599,0,22957,Home,No Default
50789,35,Self-Employed,1044681,470345,28,445,1,16111,Personal,No Default
50790,25,Self-Employed,862903,1293517,28,761,2,33767,Home,No Default
50791,42,Unemployed,372034,718072,5,803,3,79746,Personal,Default
50792,31,Salaried,1629292,1383023,28,450,4,49986,Business,No Default
50793,48,Self-Employed,782166,1145091,25,615,4,3209,Home,No Default
50794,34,Salaried,697424,197076,20,498,1,18553,Education,No Default
50795,59,Salaried,1109484,1446418,21,728,4,33736,Business,No Default
50796,23,Salaried,1700094,405917,13,602,4,17023,Home,No Default
50797,62,Salaried,1386074,126025,6,797,1,21819,Business,No Default
50798,31,Salaried,1951474,132099,29,404,0,69413,Personal,No Default
50799,50,Salaried,1296124,240128,10,309,4,22436,Home,No Default
50800,58,Salaried,590773,238444,23,326,0,70784,Home,Default
50801,25,Salaried,1962740,754165,9,626,2,55025,Home,Default
50802,42,Salaried,1409244,1059649,29,794,0,77919,Education,No Default
50803,33,Salaried,762735,414167,6,426,1,10714,Business,No Default
50804,64,Salaried,632125,433162,1,415,1,38320,Education,No Default
50805,41,Salaried,1958116,689030,24,470,1,34235,Education,No Default
50806,57,Salaried,1659528,531793,18,511,4,70242,Business,No Default
50807,45,Salaried,904283,862441,25,488,3,34668,Business,Default
50808,41,Salaried,1437320,1483406,27,789,4,70068,Home,No Default
50809,48,Self-Employed,1407397,160138,23,686,0,51973,Home,No Default
50810,61,Salaried,1950196,1217447,7,429,2,38276,Business,No Default
50811,24,Salaried,144777,593966,26,322,2,51346,Home,No Default
50812,49,Self-Employed,1495338,587657,10,478,2,18849,Personal,No Default
50813,55,Salaried,829879,478735,12,700,2,37793,Home,Default
50814,43,Salaried,591995,799105,21,804,3,59297,Business,No Default
50815,27,Salaried,1026199,411172,24,710,2,50287,Education,No Default
50816,29,Salaried,1932782,1304553,26,831,4,4537,Business,Default
50817,43,Salaried,362374,1336001,15,628,2,34867,Business,No Default
50818,23,Self-Employed,1122829,1082041,17,770,1,10307,Education,No Default
50819,29,Salaried,601298,141006,3,719,0,31051,Personal,No Default
50820,24,Salaried,257422,1182995,25,711,4,56866,Home,Default
50821,45,Salaried,1356466,666874,15,328,3,29447,Personal,No Default
50822,26,Self-Employed,876881,965573,1,544,4,12302,Education,Default
50823,38,Self-Employed,775714,1218381,11,843,1,73811,Personal,No Default
50824,27,Salaried,1373986,1019283,24,359,2,69438,Education,No Default
50825,55,Salaried,1923462,652362,6,438,2,37791,Business,No Default
50826,51,Salaried,280607,555573,28,656,3,15739,Personal,No Default
50827,58,Salaried,111355,157665,29,511,0,57214,Home,No Default
50828,52,Salaried,864265,876257,16,438,2,41286,Home,No Default
50829,55,Salaried,1821080,762377,26,667,3,39707,Education,No Default
50830,48,Unemployed,1743643,1141903,21,785,2,66790,Business,No Default
50831,64,Salaried,1496592,119830,12,792,4,9139,Personal,No Default
50832,25,Salaried,1722958,1403144,22,635,3,30967,Personal,No Default
50833,50,Salaried,1265959,1472394,27,477,3,30786,Education,No Default
50834,42,Salaried,1945602,1182226,21,812,3,16828,Personal,No Default
50835,37,Salaried,1363715,516901,15,412,2,9224,Home,Default
50836,30,Self-Employed,1270138,1276894,25,582,3,54078,Home,No Default
50837,27,Salaried,847111,542643,18,415,4,46173,Personal,No Default
50838,24,Unemployed,858060,466793,10,843,0,41630,Personal,Default
50839,62,Salaried,1820928,737535,22,340,0,33371,Business,No Default
50840,47,Salaried,1899995,1293257,12,466,1,78394,Business,Default
50841,27,Salaried,1772049,164952,20,520,4,36594,Personal,No Default
50842,43,Self-Employed,1093482,425814,19,612,4,50205,Personal,No Default
50843,31,Salaried,946868,1444669,28,645,3,35793,Education,No Default
50844,28,Salaried,1273615,548394,5,770,1,68321,Business,No Default
50845,28,Salaried,189236,1157163,18,430,4,52952,Personal,No Default
50846,57,Unemployed,667676,1495558,19,347,4,33114,Education,No Default
50847,25,Salaried,914009,1074395,23,433,4,29865,Business,No Default
50848,27,Salaried,1817430,1400544,12,818,2,7186,Education,Default
50849,42,Salaried,186811,862488,1,855,4,74772,Personal,No Default
50850,56,Salaried,663536,1106875,2,616,2,59704,Home,No Default
50851,22,Salaried,189425,872763,3,737,4,41369,Home,No Default
50852,44,Salaried,1314410,439755,26,734,0,54549,Home,Default
50853,22,Self-Employed,443853,1390324,29,385,2,35994,Home,No Default
50854,32,Salaried,1526731,1497827,12,347,2,70176,Personal,No Default
50855,62,Self-Employed,1352952,507736,14,789,3,38417,Home,No Default
50856,46,Self-Employed,1095549,1093822,7,723,4,63700,Home,No Default
50857,58,Salaried,232083,647783,4,686,1,66276,Personal,Default
50858,26,Salaried,844183,577484,12,539,1,40405,Business,No Default
50859,43,Self-Employed,328760,886769,24,750,1,37971,Business,No Default
50860,22,Salaried,1624400,611187,8,557,1,77528,Business,No Default
50861,46,Salaried,1447556,986963,1,343,0,62740,Education,No Default
50862,34,Self-Employed,1472277,247020,5,467,1,9293,Business,No Default
50863,38,Salaried,1079117,1191846,1,490,3,44376,Personal,No Default
50864,58,Self-Employed,879482,1175263,15,861,1,66314,Business,No Default
50865,52,Salaried,201751,1266263,13,575,3,26234,Education,Default
50866,34,Salaried,910713,452010,29,668,2,59679,Education,No Default
50867,50,Salaried,196574,860790,23,605,4,24322,Home,No Default
50868,33,Self-Employed,1557740,799739,13,404,1,74483,Personal,No Default
50869,60,Salaried,241308,663870,4,720,3,2843,Business,No Default
50870,51,Salaried,255531,822674,15,648,3,51145,Business,Default
50871,57,Self-Employed,688877,1416807,12,618,4,28216,Personal,No Default
50872,58,Self-Employed,583768,967460,8,719,2,64689,Personal,No Default
50873,42,Self-Employed,781160,912213,16,356,1,57714,Personal,No Default
50874,48,Salaried,1703135,788400,12,539,3,51916,Personal,No Default
50875,39,Self-Employed,1505877,127895,24,726,1,45299,Personal,No Default
50876,63,Salaried,1283826,1023762,25,876,0,66723,Personal,No Default
50877,36,Salaried,197984,1209547,27,439,3,9403,Personal,No Default
50878,25,Unemployed,768636,1367413,6,361,2,23013,Education,No Default
50879,64,Salaried,770188,1398391,23,451,4,60436,Home,No Default
50880,22,Salaried,1154725,607111,15,429,3,3604,Business,No Default
50881,30,Salaried,455008,391094,7,730,0,44229,Education,No Default
50882,39,Self-Employed,1101176,762724,5,739,4,14862,Education,No Default
50883,40,Salaried,1046522,302113,23,511,2,13594,Business,No Default
50884,49,Salaried,1988789,1179162,15,699,1,74042,Education,Default
50885,45,Salaried,1048880,330522,25,840,1,70326,Personal,No Default
50886,37,Salaried,1613244,67218,28,481,3,61856,Education,No Default
50887,33,Self-Employed,1022050,824331,12,350,4,52404,Business,No Default
50888,36,Salaried,1995568,1333222,11,825,0,38709,Home,No Default
50889,55,Self-Employed,1032865,457742,4,649,0,79950,Business,No Default
50890,56,Self-Employed,1741759,1460525,13,357,2,27233,Home,Default
50891,59,Salaried,940597,131089,18,718,4,51009,Personal,Default
50892,23,Salaried,177670,398752,8,436,4,23617,Education,No Default
50893,29,Salaried,340864,250744,7,336,1,61944,Business,No Default
50894,60,Self-Employed,1374809,982209,22,793,2,73328,Business,No Default
50895,49,Salaried,402516,721763,23,658,2,34723,Home,No Default
50896,25,Salaried,792142,1378136,28,384,2,50465,Education,No Default
50897,23,Salaried,1280547,616072,16,838,4,45415,Business,Default
50898,30,Salaried,1116997,162251,3,643,1,30618,Business,No Default
50899,51,Self-Employed,196628,1314842,22,470,2,21622,Education,No Default
50900,31,Self-Employed,198956,1161952,26,319,1,58852,Personal,No Default
50901,37,Salaried,1795548,78369,16,602,2,40052,Home,No Default
50902,60,Self-Employed,622746,1276769,16,496,4,70225,Business,Default
50903,61,Self-Employed,1280630,575035,7,626,1,16899,Education,No Default
50904,28,Salaried,1247455,1015913,23,875,3,8954,Personal,No Default
50905,22,Salaried,698348,774443,13,855,2,33089,Business,No Default
50906,24,Self-Employed,694131,1065751,13,311,4,65015,Personal,Default
50907,36,Self-Employed,827649,396862,21,660,1,41818,Business,No Default
50908,61,Salaried,1847109,765382,19,595,0,50848,Business,No Default
50909,61,Salaried,1519389,379703,18,702,4,44150,Personal,No Default
50910,41,Self-Employed,1114940,124128,29,737,4,75406,Home,No Default
50911,25,Salaried,533724,375913,7,674,0,52806,Personal,No Default
50912,55,Self-Employed,576191,660640,20,799,0,72289,Education,No Default
50913,34,Unemployed,925226,600787,18,725,3,74672,Business,No Default
50914,35,Unemployed,382897,731304,29,343,3,27564,Personal,No Default
50915,26,Self-Employed,1262260,1458518,24,408,3,46505,Personal,Default
50916,36,Salaried,1086635,1272928,18,397,4,51149,Business,No Default
50917,43,Self-Employed,651526,938060,22,744,4,67657,Business,Default
50918,51,Salaried,708531,433995,4,380,4,54347,Personal,No Default
50919,62,Self-Employed,670374,985765,9,517,3,69750,Home,No Default
50920,32,Salaried,127639,224719,21,448,1,54143,Business,No Default
50921,61,Salaried,572518,1419461,16,375,4,61022,Personal,No Default
50922,39,Salaried,1346337,545195,4,891,4,36837,Education,Default
50923,32,Self-Employed,742346,453327,8,863,4,56547,Home,No Default
50924,33,Salaried,1861376,153837,3,362,3,12076,Education,Default
50925,22,Salaried,313268,1287577,29,895,2,79784,Business,Default
50926,40,Self-Employed,1579964,715073,9,693,3,3962,Business,Default
50927,51,Self-Employed,1929663,808839,8,802,2,22407,Home,No Default
50928,29,Salaried,1579852,714373,12,666,3,73978,Business,No Default
50929,41,Salaried,1107947,1101669,14,777,1,57572,Education,No Default
50930,28,Salaried,1519468,1017513,28,554,1,49919,Personal,No Default
50931,59,Self-Employed,677638,410201,24,358,4,20703,Personal,No Default
50932,57,Unemployed,1749643,1256529,10,819,3,54391,Education,Default
50933,49,Self-Employed,1201424,286994,21,688,2,7555,Education,No Default
50934,39,Salaried,1784410,736127,17,887,2,3892,Business,No Default
50935,55,Salaried,1781767,1132569,11,725,1,41175,Business,No Default
50936,58,Unemployed,1757986,524763,10,889,4,78025,Home,No Default
50937,46,Salaried,1330886,1271261,13,801,2,48541,Personal,No Default
50938,31,Salaried,1951698,1304715,25,823,3,49542,Home,No Default
50939,56,Salaried,1788435,1360245,2,579,4,54990,Education,No Default
50940,55,Self-Employed,1548455,292862,1,344,3,69025,Education,No Default
50941,24,Self-Employed,606733,485238,22,864,3,28628,Home,Default
50942,23,Salaried,892621,351034,1,480,1,38777,Home,Default
50943,32,Self-Employed,1562465,1283328,16,700,3,69357,Personal,No Default
50944,52,Salaried,496805,1076532,10,673,0,44846,Education,No Default
50945,46,Salaried,1066511,256408,26,533,4,61176,Home,No Default
50946,63,Salaried,1774809,1345417,29,485,0,78594,Personal,No Default
50947,63,Salaried,1057608,875839,10,374,3,76424,Business,No Default
50948,33,Salaried,443161,859834,7,890,3,78092,Business,No Default
50949,64,Self-Employed,1013656,301865,7,532,1,52921,Personal,Default
50950,58,Salaried,1497748,732584,29,467,1,21225,Home,No Default
50951,49,Salaried,1019666,244320,1,834,1,46084,Personal,No Default
50952,39,Salaried,704398,906718,26,706,1,72899,Personal,No Default
50953,55,Salaried,254165,1374540,13,529,2,3117,Home,No Default
50954,61,Salaried,1143531,834322,5,592,1,9447,Business,No Default
50955,47,Salaried,195400,413102,3,699,3,62507,Personal,No Default
50956,51,Self-Employed,1415887,1344491,29,337,3,19196,Business,No Default
50957,23,Unemployed,1978751,1348632,13,531,4,4460,Personal,Default
50958,55,Self-Employed,905957,1313531,27,467,0,55490,Education,No Default
50959,44,Salaried,1269395,1391927,12,584,2,22103,Home,No Default
50960,27,Unemployed,514203,1301487,18,402,2,58383,Business,Default
50961,55,Salaried,1754938,567330,27,444,4,76582,Home,No Default
50962,41,Salaried,955598,842574,5,665,4,46906,Business,No Default
50963,21,Salaried,1812588,1075476,5,452,1,77976,Business,Default
50964,64,Salaried,1002516,1364475,2,721,4,71578,Home,No Default
50965,26,Self-Employed,190902,378510,6,618,2,61141,Personal,No Default
50966,59,Salaried,1260393,391373,7,784,0,51326,Personal,No Default
50967,54,Salaried,598317,318265,1,382,0,46023,Education,No Default
50968,38,Salaried,327644,1257952,3,832,2,35461,Business,No Default
50969,45,Self-Employed,1908834,98294,20,587,1,76275,Home,No Default
50970,35,Self-Employed,1332509,924426,2,788,0,7976,Business,Default
50971,52,Salaried,822763,114902,10,567,0,54449,Personal,No Default
50972,62,Self-Employed,1830200,1329294,11,378,1,6368,Home,Default
50973,38,Self-Employed,1280224,814020,21,675,0,5023,Home,No Default
50974,51,Salaried,1221375,1012762,13,896,3,76511,Business,No Default
50975,49,Salaried,1916471,1351665,16,891,2,63891,Education,No Default
50976,35,Salaried,628052,1475869,20,450,0,49664,Personal,No Default
50977,43,Salaried,946319,932513,11,314,0,52680,Personal,No Default
50978,58,Self-Employed,1304585,1478399,18,400,1,51245,Business,No Default
50979,61,Salaried,1050728,132435,11,687,0,11522,Business,Default
50980,31,Salaried,1898272,514623,1,334,1,44721,Education,No Default
50981,35,Self-Employed,1594505,292893,24,650,2,41428,Personal,No Default
50982,43,Salaried,1446598,465050,18,582,3,16176,Education,No Default
50983,23,Salaried,1791081,267831,20,824,4,21126,Home,No Default
50984,39,Salaried,268747,341690,28,464,2,3096,Home,No Default
50985,21,Salaried,1410698,138410,26,727,0,31840,Education,No Default
50986,44,Salaried,1874440,495599,5,557,3,56155,Education,No Default
50987,31,Unemployed,1239037,315840,2,742,4,48743,Business,Default
50988,50,Salaried,586020,1151021,26,419,4,20487,Personal,No Default
50989,31,Self-Employed,1162778,925353,25,368,0,72265,Personal,No Default
50990,59,Salaried,1562723,1428272,18,573,4,51277,Personal,No Default
50991,21,Salaried,693907,898849,22,859,4,66086,Education,No Default
50992,32,Unemployed,1820428,1139702,7,621,2,33185,Business,No Default
50993,24,Salaried,812263,83743,22,661,2,49893,Business,No Default
50994,45,Self-Employed,1477487,398611,11,869,4,24381,Business,Default
50995,28,Unemployed,1607568,332472,11,889,1,50555,Education,No Default
50996,35,Salaried,1552622,574497,28,798,0,56826,Education,Default
50997,63,Salaried,934647,554575,13,503,1,71710,Business,No Default
50998,50,Self-Employed,582702,59800,4,805,1,13764,Education,No Default
50999,60,Self-Employed,1908049,115749,1,408,4,60132,Home,No Default
51000,52,Salaried,1175193,399961,18,564,0,23882,Personal,No Default
51001,64,Salaried,965541,864439,12,687,1,41175,Personal,No Default
51002,55,Salaried,1990881,874982,26,715,2,37120,Personal,No Default
51003,41,Salaried,1933284,1007674,28,867,2,8883,Home,Default
51004,51,Self-Employed,1918994,702684,10,611,0,71756,Business,No Default
51005,56,Salaried,1072710,377983,28,551,1,30293,Personal,No Default
51006,47,Salaried,1044232,273019,22,883,3,26656,Education,No Default
51007,64,Salaried,214785,926526,8,687,3,44604,Home,No Default
51008,28,Salaried,547974,1148588,3,502,0,67710,Business,No Default
51009,43,Salaried,1537791,1315615,7,409,0,43307,Home,No Default
51010,43,Salaried,929340,1018511,25,381,3,12104,Personal,No Default
51011,62,Salaried,665212,671777,20,895,1,27966,Business,No Default
51012,53,Salaried,1698935,1309039,11,492,1,52710,Personal,No Default
51013,33,Salaried,1093325,412825,7,438,4,19822,Business,No Default
51014,59,Salaried,586265,833585,7,520,0,4925,Personal,No Default
51015,55,Self-Employed,569022,1124902,29,488,1,74522,Business,No Default
51016,36,Self-Employed,1167415,1414531,28,639,3,6819,Home,No Default
51017,32,Salaried,513046,775171,26,777,3,7371,Business,No Default
51018,51,Salaried,535581,103537,9,721,2,72239,Business,Default
51019,25,Self-Employed,1885742,632117,3,496,1,13984,Home,No Default
51020,60,Salaried,727403,1040315,11,885,4,11280,Business,No Default
51021,64,Unemployed,959795,589773,17,497,4,2292,Home,No Default
51022,45,Unemployed,741667,751473,8,623,0,72979,Personal,No Default
51023,41,Salaried,1913177,1237253,20,559,2,11182,Personal,No Default
51024,23,Salaried,477804,673891,2,498,3,46362,Personal,No Default
51025,30,Salaried,1831260,1179965,21,436,3,4576,Business,No Default
51026,43,Salaried,1436808,730117,20,645,0,2819,Education,No Default
51027,37,Unemployed,468254,1484862,1,799,4,46450,Education,No Default
51028,62,Unemployed,692747,94865,16,474,4,65399,Personal,No Default
51029,55,Salaried,727593,1161387,28,788,3,54772,Home,Default
51030,45,Salaried,838088,58337,23,768,0,26313,Business,Default
51031,22,Salaried,205780,1333115,4,615,1,74248,Home,No Default
51032,47,Salaried,571638,1176246,24,679,2,16857,Business,No Default
51033,29,Salaried,1735270,1493631,9,741,4,29083,Home,No Default
51034,24,Unemployed,196888,283970,8,432,4,29565,Personal,No Default
51035,46,Salaried,597483,1393234,1,326,4,7751,Education,No Default
51036,52,Salaried,1711567,808290,8,556,1,31285,Home,No Default
51037,49,Salaried,1213998,1045030,5,862,1,73150,Personal,No Default
51038,42,Salaried,1693478,446156,1,655,2,39402,Education,No Default
51039,33,Salaried,456550,1291053,25,535,4,5207,Education,No Default
51040,43,Salaried,1296714,778294,25,658,3,4656,Education,No Default
51041,51,Salaried,1323939,1100628,7,570,4,19634,Home,No Default
51042,61,Self-Employed,919323,975911,15,848,2,44772,Home,No Default
51043,56,Salaried,927314,286355,7,809,2,28418,Education,No Default
51044,60,Salaried,1051878,772531,27,738,3,34720,Home,No Default
51045,51,Self-Employed,1712157,958458,1,887,1,39907,Personal,No Default
51046,35,Self-Employed,710874,195344,9,770,3,74103,Business,No Default
51047,34,Salaried,312076,322635,1,610,2,5460,Education,No Default
51048,55,Salaried,1794760,913912,29,516,3,62041,Business,No Default
51049,44,Self-Employed,1403996,432885,12,611,4,37282,Education,No Default
51050,50,Salaried,1823165,480988,7,529,2,39052,Business,No Default
51051,50,Salaried,168474,989644,25,639,1,32312,Education,No Default
51052,47,Salaried,621361,122981,9,794,1,7504,Personal,No Default
51053,60,Salaried,1263037,1393772,5,463,3,19048,Education,No Default
51054,34,Salaried,1584678,1228248,12,415,3,66783,Personal,No Default
51055,31,Salaried,1031379,515987,29,370,3,31100,Education,Default
51056,64,Self-Employed,1531727,976823,22,352,4,4632,Home,No Default
51057,46,Self-Employed,1211318,1026117,2,896,1,50699,Business,No Default
51058,41,Unemployed,725019,473588,18,641,2,70601,Personal,No Default
51059,29,Salaried,1763140,121871,26,887,2,48046,Education,Default
51060,21,Salaried,703974,537106,9,631,1,29694,Home,No Default
51061,64,Self-Employed,1813637,624083,29,378,3,19343,Education,No Default
51062,26,Salaried,878204,696287,1,406,0,17406,Business,Default
51063,21,Salaried,1853057,667178,10,381,3,36775,Education,No Default
51064,42,Salaried,1958299,938673,28,501,1,64240,Home,Default
51065,33,Salaried,588038,1168919,28,691,4,35489,Education,No Default
51066,58,Salaried,910548,982454,14,529,3,75236,Education,Default
51067,61,Salaried,1416606,1432592,21,319,2,36022,Personal,No Default
51068,60,Unemployed,1686536,187596,14,622,4,69881,Personal,No Default
51069,51,Salaried,1163084,1050449,7,767,1,36429,Education,No Default
51070,35,Unemployed,456348,874922,12,609,0,15170,Education,No Default
51071,22,Self-Employed,1782170,480082,26,771,3,72954,Home,No Default
51072,51,Salaried,1354576,1090207,22,891,4,19475,Education,No Default
51073,46,Self-Employed,269008,780560,22,373,4,29296,Business,Default
51074,22,Self-Employed,365425,930191,6,735,2,24123,Personal,No Default
51075,31,Salaried,343447,1128406,13,761,3,8960,Business,No Default
51076,53,Salaried,1801550,129138,8,449,0,50723,Education,Default
51077,38,Salaried,1616138,978021,23,614,4,60408,Home,No Default
51078,41,Salaried,545080,1499887,21,549,2,36339,Business,No Default
51079,51,Salaried,1768250,359529,26,573,3,37783,Education,No Default
51080,46,Salaried,333099,858709,2,781,3,74542,Personal,No Default
51081,50,Salaried,1641782,663549,10,381,0,21830,Education,No Default
51082,59,Salaried,1401776,1195290,6,531,2,18625,Personal,Default
51083,41,Salaried,540875,509702,16,330,0,42106,Home,No Default
